Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325	416	-21	21	15325
417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345	417	-20	20	15345
418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364	418	-19	19	15364
419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386	419	-22	22	15386
420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405	420	-19	19	15405
421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424	421	-19	19	15424
422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441	422	-17	17	15441
423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468	423	-126	27	15468
424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487	424	-19	19	15487
425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509	425	-22	22	15509
426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526	426	-17	17	15526
427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545	427	-19	19	15545
428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564	428	-19	19	15564
429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581	429	-17	17	15581
430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600	430	-19	19	15600
431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624	431	-123	24	15624
432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641	432	-17	17	15641
433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659	433	-18	18	15659
434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681	434	-121	22	15681
435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705	435	-123	24	15705
436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724	436	-19	19	15724
437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752	437	-28	28	15752
438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773	438	-21	21	15773
439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791	439	-18	18	15791
440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810	440	-19	19	15810
441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829	441	-19	19	15829
442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846	442	-17	17	15846
