Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512	374	-21	21	14512
375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533	375	-21	21	14533
376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553	376	-20	20	14553
377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574	377	-21	21	14574
378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595	378	-21	21	14595
379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614	379	-19	19	14614
380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633	380	-19	19	14633
381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651	381	-18	18	14651
382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668	382	-17	17	14668
383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685	383	-17	17	14685
384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704	384	-19	19	14704
385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721	385	-17	17	14721
386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738	386	-17	17	14738
387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757	387	-19	19	14757
388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775	388	-18	18	14775
389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792	389	-17	17	14792
390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811	390	-19	19	14811
391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828	391	-17	17	14828
392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845	392	-17	17	14845
393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862	393	-17	17	14862
394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884	394	-121	22	14884
395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907	395	-23	23	14907
396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924	396	-17	17	14924
397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945	397	-21	21	14945
398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962	398	-17	17	14962
399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980	399	-18	18	14980
400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997	400	-17	17	14997
401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014	401	-17	17	15014
402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034	402	-20	20	15034
