Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320	443	-18	18	12320
444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337	444	-17	17	12337
445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354	445	-17	17	12354
446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375	446	-21	21	12375
447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394	447	-19	19	12394
448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416	448	-22	22	12416
449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439	449	-23	23	12439
450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460	450	-21	21	12460
451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500	451	-40	40	12500
452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519	452	-19	19	12519
453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537	453	-18	18	12537
454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556	454	-19	19	12556
455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575	455	-19	19	12575
456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592	456	-17	17	12592
457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611	457	-19	19	12611
458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630	458	-19	19	12630
459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649	459	-19	19	12649
460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667	460	-18	18	12667
461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685	461	-18	18	12685
462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703	462	-18	18	12703
463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726	463	-23	23	12726
464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744	464	-18	18	12744
465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763	465	-19	19	12763
466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784	466	-21	21	12784
467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801	467	-17	17	12801
468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820	468	-19	19	12820
