Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519	392	-19	19	11519
393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541	393	-22	22	11541
394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558	394	-17	17	11558
395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580	395	-22	22	11580
396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601	396	-21	21	11601
397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619	397	-18	18	11619
398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638	398	-19	19	11638
399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658	399	-20	20	11658
400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680	400	-22	22	11680
401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706	401	-26	26	11706
402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723	402	-17	17	11723
403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744	403	-120	21	11744
404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766	404	-22	22	11766
405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783	405	-17	17	11783
406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800	406	-17	17	11800
407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819	407	-118	19	11819
408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840	408	-21	21	11840
409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863	409	-23	23	11863
410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882	410	-19	19	11882
411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901	411	-19	19	11901
412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919	412	-18	18	11919
413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936	413	-17	17	11936
414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954	414	-18	18	11954
415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972	415	-18	18	11972
416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989	416	-17	17	11989
417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006	417	-17	17	12006
418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027	418	-21	21	12027
419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048	419	-21	21	12048
